Date,SPY
2016-09-28,186.45460510253906
2016-09-29,184.76768493652344
2016-09-30,186.1619873046875
2016-10-03,185.71441650390625
2016-10-04,184.76768493652344
2016-10-05,185.58535766601562
2016-10-06,185.71441650390625
2016-10-07,185.07749938964844
2016-10-10,186.04151916503906
2016-10-11,183.6918182373047
2016-10-12,183.93283081054688
2016-10-13,183.33038330078125
2016-10-14,183.425048828125
2016-10-17,182.7882080078125
2016-10-18,183.93283081054688
2016-10-19,184.4234619140625
2016-10-20,184.07916259765625
2016-10-21,184.1652069091797
2016-10-24,184.94845581054688
2016-10-25,184.32876586914062
2016-10-26,183.958740234375
2016-10-27,183.46810913085938
2016-10-28,182.92588806152344
2016-10-31,182.93447875976562
2016-11-01,181.60906982421875
2016-11-02,180.51602172851562
2016-11-03,179.6897735595703
